StartSplit,StartScore,StopSplit,StopScore,SplitSize,PathLength
{ 0 2 3 8 9 },-0.017624,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 4 5 6 },-0.0190111,{ 2 3 5 6 },-0.0254904,4,1
{ 4 6 8 9 },-0.0167208,{ 0 4 7 8 },-0.0255352,4,2
{ 0 1 2 8 9 },-0.0173544,{ 0 1 4 7 8 },-0.0285387,5,2
{ 4 5 7 8 },-0.0202389,{ 0 4 7 8 },-0.0255352,4,1
{ 0 3 8 },-0.0167015,{ 4 7 8 },-0.025536,3,2
{ 1 2 3 5 },-0.0189254,{ 2 3 5 6 },-0.0254904,4,1
{ 2 3 6 7 },-0.0185769,{ 2 3 5 6 },-0.0254904,4,1
{ 0 3 4 5 6 },-0.0172958,{ 0 1 4 7 8 },-0.0285387,5,2
{ 6 9 },-0.0199061,{ 5 6 },-0.0245457,2,1
{ 0 1 2 3 6 },-0.0180876,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 9 },-0.0154898,{ 0 1 },-0.022339,2,1
{ 0 5 7 },-0.0167969,{ 4 7 8 },-0.025536,3,2
{ 1 3 7 9 },-0.0162695,{ 2 3 5 6 },-0.0254904,4,3
{ 3 4 5 7 },-0.0161986,{ 0 4 7 8 },-0.0255352,4,2
{ 3 4 9 },-0.0172625,{ 2 3 9 },-0.0237436,3,1
{ 1 3 4 7 },-0.0178565,{ 0 4 7 8 },-0.0255352,4,2
{ 0 1 4 7 },-0.0242006,{ 0 4 7 8 },-0.0255352,4,1
{ 0 2 4 5 9 },-0.0165705,{ 0 1 4 7 8 },-0.0285387,5,2
{ 5 7 },-0.0159689,{ 7 8 },-0.0250616,2,1
{ 1 3 6 9 },-0.0182168,{ 2 3 5 6 },-0.0254904,4,2
{ 0 1 3 5 9 },-0.0182942,{ 0 1 4 7 8 },-0.0285387,5,2
{ 3 6 8 },-0.0164524,{ 5 6 9 },-0.023584,3,2
{ 2 6 7 8 },-0.0171118,{ 0 4 7 8 },-0.0255352,4,2
{ 0 4 8 },-0.0222126,{ 4 7 8 },-0.025536,3,1
{ 0 3 7 8 9 },-0.0174968,{ 0 1 4 7 8 },-0.0285387,5,2
{ 1 4 5 },-0.0165124,{ 4 7 8 },-0.025536,3,4
{ 1 2 8 9 },-0.0161856,{ 2 3 5 6 },-0.0254904,4,3
{ 0 2 5 6 8 },-0.0168946,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 1 2 3 8 },-0.0178839,{ 0 1 4 7 8 },-0.0285387,5,2
{ 0 4 5 8 9 },-0.0165662,{ 0 1 4 7 8 },-0.0285387,5,2
{ 2 7 },-0.016024,{ 7 8 },-0.0250616,2,1
{ 2 6 9 },-0.0214228,{ 2 3 9 },-0.0237436,3,1
{ 0 1 3 8 },-0.0186177,{ 0 4 7 8 },-0.0255352,4,2
{ 2 5 6 7 },-0.0190709,{ 2 3 5 6 },-0.0254904,4,1
{ 1 4 6 7 },-0.0178871,{ 0 4 7 8 },-0.0255352,4,2
{ 4 5 8 9 },-0.0166068,{ 0 4 7 8 },-0.0255352,4,2
{ 0 1 4 8 },-0.0243666,{ 0 4 7 8 },-0.0255352,4,1
{ 0 1 3 4 },-0.0185762,{ 0 4 7 8 },-0.0255352,4,2
{ 0 3 4 9 },-0.016541,{ 2 3 5 6 },-0.0254904,4,3
{ 1 7 },-0.0193959,{ 7 8 },-0.0250616,2,1
{ 2 3 4 },-0.0186259,{ 2 3 9 },-0.0237436,3,1
{ 0 1 3 5 8 },-0.0169613,{ 0 1 4 7 8 },-0.0285387,5,2
{ 4 8 },-0.0227619,{ 7 8 },-0.0250616,2,1
{ 0 1 5 },-0.0184621,{ 4 7 8 },-0.025536,3,3
{ 1 4 6 },-0.0160158,{ 4 7 8 },-0.025536,3,4
{ 0 1 5 8 },-0.0188212,{ 0 4 7 8 },-0.0255352,4,2
{ 1 4 8 },-0.0219535,{ 4 7 8 },-0.025536,3,1
{ 3 4 6 7 },-0.0163126,{ 0 4 7 8 },-0.0255352,4,2
